file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
043,0.0,15.9753125,mfa_input,-4.266948653725736,-51.754192377952734,0.812784665938379
040,0.0,8.4985,mfa_input,-4.172800942285042,-52.51630474683544,0.7030960458267558
042,0.0,14.8608125,mfa_input,-4.140106325706595,-51.28629954782607,0.7377350754945597
041,0.0,9.1486875,mfa_input,-4.237106126914661,-51.15234607920794,0.7548546099785013
001,0.0,11.461,mfa_input,-4.097834205933682,-52.981449207792224,0.8125361130053851
044,0.0,14.9536875,mfa_input,-4.202580602006689,-52.3047665762712,0.7419897297789266
